Start: Fri Nov 22 23:54:15 CST 2019
Threads:  1 | Map Partitions: 16 | "Elapsed time: 55106.0565 msecs"
Threads:  2 | Map Partitions: 16 | "Elapsed time: 22631.9866 msecs"
Threads:  4 | Map Partitions: 16 | "Elapsed time: 15524.8803 msecs"
Threads:  8 | Map Partitions: 16 | "Elapsed time: 10778.4164 msecs"
Threads: 16 | Map Partitions: 16 | "Elapsed time: 10707.1147 msecs"
Threads: 20 | Map Partitions: 16 | "Elapsed time: 10706.8261 msecs"
Threads: 32 | Map Partitions: 16 | "Elapsed time: 10690.0304 msecs"
Threads: 64 | Map Partitions: 16 | "Elapsed time: 10670.0897 msecs"
Threads:  1 | Map Partitions: 20 | "Elapsed time: 55241.9837 msecs"
Threads:  2 | Map Partitions: 20 | "Elapsed time: 21559.1272 msecs"
Threads:  4 | Map Partitions: 20 | "Elapsed time: 14009.7643 msecs"
Threads:  8 | Map Partitions: 20 | "Elapsed time: 10542.0553 msecs"
Threads: 16 | Map Partitions: 20 | "Elapsed time: 10012.834 msecs"
Threads: 20 | Map Partitions: 20 | "Elapsed time: 10217.4065 msecs"
Threads: 32 | Map Partitions: 20 | "Elapsed time: 10291.7488 msecs"
Threads: 64 | Map Partitions: 20 | "Elapsed time: 10213.9121 msecs"
Threads:  1 | Map Partitions: 32 | "Elapsed time: 55441.5059 msecs"
Threads:  2 | Map Partitions: 32 | "Elapsed time: 21935.0077 msecs"
Threads:  4 | Map Partitions: 32 | "Elapsed time: 14232.977 msecs"
Threads:  8 | Map Partitions: 32 | "Elapsed time: 9598.2322 msecs"
Threads: 16 | Map Partitions: 32 | "Elapsed time: 8750.5607 msecs"
Threads: 20 | Map Partitions: 32 | "Elapsed time: 8856.4142 msecs"
Threads: 32 | Map Partitions: 32 | "Elapsed time: 9323.0881 msecs"
Threads: 64 | Map Partitions: 32 | "Elapsed time: 9270.3641 msecs"
Threads:  1 | Map Partitions: 64 | "Elapsed time: 55291.5453 msecs"
Threads:  2 | Map Partitions: 64 | "Elapsed time: 21543.4456 msecs"
Threads:  4 | Map Partitions: 64 | "Elapsed time: 13767.8691 msecs"
Threads:  8 | Map Partitions: 64 | "Elapsed time: 9200.8966 msecs"
Threads: 16 | Map Partitions: 64 | "Elapsed time: 8191.1938 msecs"
Threads: 20 | Map Partitions: 64 | "Elapsed time: 7988.7658 msecs"
Threads: 32 | Map Partitions: 64 | "Elapsed time: 8375.2633 msecs"
Threads: 64 | Map Partitions: 64 | "Elapsed time: 9497.0515 msecs"
Threads:  1 | Map Partitions: 128 | "Elapsed time: 56019.8911 msecs"
Threads:  2 | Map Partitions: 128 | "Elapsed time: 22124.1996 msecs"
Threads:  4 | Map Partitions: 128 | "Elapsed time: 14474.5534 msecs"
Threads:  8 | Map Partitions: 128 | "Elapsed time: 9481.4921 msecs"
Threads: 16 | Map Partitions: 128 | "Elapsed time: 8168.6874 msecs"
Threads: 20 | Map Partitions: 128 | "Elapsed time: 7790.4929 msecs"
Threads: 32 | Map Partitions: 128 | "Elapsed time: 7894.9946 msecs"
Threads: 64 | Map Partitions: 128 | "Elapsed time: 8870.8631 msecs"
Threads:  1 | Map Partitions: 256 | "Elapsed time: 57322.5793 msecs"
